epoch,loss,mae,val_loss,val_mae
1,0.10010618716478348,0.2534642815589905,0.06474511325359344,0.21357962489128113
2,0.07508394122123718,0.22175070643424988,0.06083608791232109,0.2063436359167099
3,0.05673651024699211,0.18968021869659424,0.04604534059762955,0.17742212116718292
4,0.04090799391269684,0.15932515263557434,0.04737081751227379,0.17847688496112823
5,0.03522321954369545,0.14750054478645325,0.04409251734614372,0.17208987474441528
6,0.027809619903564453,0.1302642524242401,0.03818885236978531,0.15845873951911926
7,0.024292295798659325,0.11934839189052582,0.038270529359579086,0.16361205279827118
8,0.021478451788425446,0.11273815482854843,0.034996822476387024,0.15089476108551025
9,0.02137371525168419,0.10877463221549988,0.04523438215255737,0.17684610188007355
10,0.016720380634069443,0.09894680231809616,0.037057023495435715,0.15831030905246735
11,0.015335083939135075,0.09533882886171341,0.03496231883764267,0.15566597878932953
12,0.013873268850147724,0.08886846899986267,0.045579854398965836,0.17963433265686035
13,0.013176077976822853,0.08855503797531128,0.045864056795835495,0.17721512913703918
14,0.012454010546207428,0.08707059919834137,0.03520870953798294,0.15758071839809418
15,0.012001528404653072,0.08485279977321625,0.042151279747486115,0.1736299842596054
16,0.010392341762781143,0.07813487946987152,0.034434061497449875,0.15588706731796265
17,0.012130829505622387,0.08202549815177917,0.04653485119342804,0.18108204007148743
18,0.010243305005133152,0.07458876818418503,0.05250266194343567,0.1908484548330307
19,0.009570795111358166,0.07451162487268448,0.0382852666079998,0.16571082174777985
20,0.00894127506762743,0.0718047246336937,0.03411871939897537,0.15644000470638275
