date,btc_open,btc_high,btc_low,btc_close,btc_volume,dxy_close,dxy_observed_date,dxy_staleness_days,eth_close,eth_observed_date,eth_staleness_days,gold_close,gold_observed_date,gold_staleness_days,nasdaq_close,nasdaq_observed_date,nasdaq_staleness_days,oil_brent_close,oil_brent_observed_date,oil_brent_staleness_days,oil_wti_close,oil_wti_observed_date,oil_wti_staleness_days,sp500_close,sp500_observed_date,sp500_staleness_days,us10y_close,us10y_observed_date,us10y_staleness_days,us2y_close,us2y_observed_date,us2y_staleness_days,vix_close,vix_observed_date,vix_staleness_days,btc_return_1d,dxy_return_1d,eth_return_1d,gold_return_1d,nasdaq_return_1d,oil_brent_return_1d,oil_wti_return_1d,sp500_return_1d,us10y_return_1d,us2y_return_1d,vix_return_1d,btc_volume_change_1d,dataset_split,btc_return_1d_scaled,dxy_return_1d_scaled,eth_return_1d_scaled,gold_return_1d_scaled,nasdaq_return_1d_scaled,oil_brent_return_1d_scaled,oil_wti_return_1d_scaled,sp500_return_1d_scaled,us10y_return_1d_scaled,us2y_return_1d_scaled,vix_return_1d_scaled,btc_volume_change_1d_scaled,btc_forward_return_30p,btc_target_date_30p,btc_target_split_30p,dxy_macro_contribution,eth_macro_contribution,gold_macro_contribution,nasdaq_macro_contribution,oil_brent_macro_contribution,oil_wti_macro_contribution,sp500_macro_contribution,us10y_macro_contribution,us2y_macro_contribution,vix_macro_contribution,macro_support_score,macro_support_trend_21d,macro_support_impulse_21d,btc_drawdown,btc_distance_to_200d,btc_return_30d,btc_return_90d,btc_volume_change_21d_mean,btc_realized_vol_30d,valuation_component,macro_component,participation_component,accumulation_score,signal_zone,dxy_corr_90d,eth_corr_90d,gold_corr_90d,nasdaq_corr_90d,oil_brent_corr_90d,oil_wti_corr_90d,sp500_corr_90d,us10y_corr_90d,us2y_corr_90d,vix_corr_90d,btc_lstm_target_date_30p,btc_lstm_sample_split,btc_lstm_pred_forward_return_30p,btc_lstm_actual_forward_return_30p,btc_lstm_residual_forward_return_30p,buy_signal_zone_gate,buy_signal_score_gate,buy_signal_lstm_gate,buy_signal_strength,buy_signal,buy_signal_label
2017-11-10,7173.72998,7312.0,6436.870117,6618.140137,5208249856.0,94.38999938964844,2017-11-10,0,299.25299072265625,2017-11-10,0.0,1272.4000244140625,2017-11-10,0,6750.93994140625,2017-11-10,0,63.52000045776367,2017-11-10,0,56.7400016784668,2017-11-10,0,2582.300048828125,2017-11-10,0,2.4000000953674316,2017-11-10,0,1.2000000476837158,2017-11-10,0,11.289999961853027,2017-11-10,0,-0.0735541472570862,-0.0005294689799358876,-0.06741068978776144,-0.010267541554563886,0.00013187113347390422,-0.006413262090645078,-0.007521366175451294,-0.0008976438525517549,0.029601030917395965,-0.002493684037895294,0.07523809160505013,0.6143354922369215,train,-1.5732407268555975,-0.15670913076037815,-1.1409842403218982,-1.1200531890675882,-0.03947247512369663,-0.2644543343537212,-0.04946581830895712,-0.10938380468131835,0.7046811855878132,-0.01287976832788123,0.7293089678177753,2.0689995110514463,1.4326773794031555,2017-12-26,train,0.18021550037443487,-1.0839350283058031,-0.39201861617365585,-0.04539334639225112,0.11900445045917453,0.022259618239030703,-0.10938380468131835,-0.6342130670290319,0.010303814662304985,-0.8022398645995529,-0.3295663064393575,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-13,5938.25,6811.189941,5844.290039,6559.490234,6263249920.0,94.48999786376952,2017-11-13,0,316.71600341796875,2017-11-13,0.0,1277.300048828125,2017-11-13,0,6757.60009765625,2017-11-13,0,63.15999984741211,2017-11-13,0,56.7599983215332,2017-11-13,0,2584.840087890625,2017-11-13,0,2.4000000953674316,2017-11-13,0,1.184999942779541,2017-11-13,0,11.5,2017-11-13,0,-0.008861991705510497,0.001059418103270371,0.05835534894118055,0.003851009368157632,0.000986552436817112,-0.005667515865194872,0.00035242584552119816,0.0009836343625724275,0.0,-0.012500086923436848,0.018600534885431896,0.20256325890061144,train,-0.23960205118993677,0.2763390291299898,0.871462820440803,0.3552588914143855,0.017348679328318333,-0.23742123590731024,0.024717710238104394,0.03305073176502051,-0.016626231414081746,-0.04028298207208689,0.1408443154669259,0.6140712765068794,1.4145931215666478,2017-12-27,train,-0.3177898834994883,0.8278896794187628,0.12434061199503492,0.01995098122756608,0.1068395561582896,-0.011122969607146978,0.03305073176502051,0.014963608272673573,0.03222638565766951,-0.15492874701361853,0.08137589811744135,,,-0.008861991705510497,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-14,6561.47998,6764.97998,6461.75,6635.75,3197110016.0,93.83000183105467,2017-11-14,0,337.6310119628906,2017-11-14,0.0,1281.5,2017-11-14,0,6737.8701171875,2017-11-14,0,62.209999084472656,2017-11-14,0,55.70000076293945,2017-11-14,0,2578.8701171875,2017-11-14,0,2.38100004196167,2017-11-14,0,1.2400000095367432,2017-11-14,0,11.59000015258789,2017-11-14,0,0.011625867754893715,-0.00698482429501579,0.06603710680612629,0.003288147664073371,-0.002919672692024644,-0.015041177410300088,-0.018675080865737326,-0.0023096092988857952,-0.007916688604486466,0.04641356068608227,0.007826100225033938,-0.48954455644650374,train,0.1827583034007233,-1.9161039739689865,0.9943825783741764,0.29644289278808234,-0.24234604021456402,-0.5772139250344847,-0.15455138698142232,-0.21628593229329499,-0.20953728996625517,0.12105604218678784,0.028897856016074728,-1.831375794410714,1.2011829860980296,2017-12-28,train,2.2035195700643344,0.9446634494554675,0.10375501247582881,-0.2786979462467486,0.2597462662655181,0.06954812414164005,-0.21628593229329499,0.18858356096962967,-0.09684483374943027,-0.0317876416176822,0.379060196321116,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-15,6634.759766,7342.25,6634.759766,7315.540039,4200880128.0,93.80999755859376,2017-11-15,0,333.35699462890625,2017-11-15,0.0,1276.5,2017-11-15,0,6706.2099609375,2017-11-15,0,61.869998931884766,2017-11-15,0,55.33000183105469,2017-11-15,0,2564.6201171875,2017-11-15,0,2.3350000381469727,2017-11-15,0,1.2300000190734863,2017-11-15,0,13.130000114440918,2017-11-15,0,0.10244358798930042,-0.0002131969740012396,-0.012658841109222885,-0.003901677721420249,-0.004698837421819535,-0.0054653618002182824,-0.006642709637644129,-0.005525675723266343,-0.01931961486938849,-0.008064508376086854,0.13287316148215633,0.31396170509510557,train,2.0549794886080632,-0.07050979561413383,-0.26487175353262754,-0.4548549072364283,-0.36062895281813756,-0.23009320587061086,-0.04118748911485815,-0.4597793861879068,-0.4873997506809548,-0.028135849041107913,1.3281377895896764,1.007679032278962,1.0034338021343716,2017-12-29,train,0.0810862649562539,-0.2516281658559962,-0.1591992175327499,-0.41472329574085814,0.10354194264177488,0.018534370101686168,-0.4597793861879068,0.43865977561285935,0.022508679232886332,-1.4609515685486443,-0.25083742184586677,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-16,7323.240234,7967.379883,7176.580078,7871.689941,5123809792.0,93.93000030517578,2017-11-16,0,330.92401123046875,2017-11-16,0.0,1277.4000244140625,2017-11-16,0,6793.2900390625,2017-11-16,0,61.36000061035156,2017-11-16,0,55.13999938964844,2017-11-16,0,2585.639892578125,2017-11-16,0,2.361000061035156,2017-11-16,0,1.2300000190734863,2017-11-16,0,11.760000228881836,2017-11-16,0,0.07602308223796173,0.0012792106353809451,-0.007298432124233423,0.0007050720047492298,0.012984991318826244,-0.008243063364114178,-0.003433985814538798,0.008196058063241196,0.011134913260565371,0.0,-0.10434119372568007,0.21969911920324137,train,1.510316723853827,0.33624306673854093,-0.17909709277879776,0.026525480876714642,0.8150321506185889,-0.3307841343244769,-0.010956254317577973,0.5791146888132513,0.2547053835195887,-0.0060506452671161,-1.1365211956320163,0.6746179694577498,0.9032888390287275,2018-01-02,train,-0.38667952674932204,-0.17014223813985788,0.009283918306850124,0.9372869732113772,0.14885286044601462,0.004930314442910088,0.5791146888132513,-0.22923484516762985,0.004840516213692881,1.250173315195218,0.2588465032015065,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-17,7853.569824,8004.589844,7561.089844,7708.990234,4651670016.0,93.66000366210938,2017-11-17,0,332.3940124511719,2017-11-17,0.0,1295.800048828125,2017-11-17,0,6782.7900390625,2017-11-17,0,62.720001220703125,2017-11-17,0,56.54999923706055,2017-11-17,0,2578.85009765625,2017-11-17,0,2.3540000915527344,2017-11-17,0,1.2400000095367432,2017-11-17,0,11.43000030517578,2017-11-17,0,-0.02066896793693207,-0.0028744452484743555,0.0044421110914172335,0.014404277487392703,-0.0015456428239665199,0.022164286128154354,0.025571270638730104,-0.0026259630899742037,-0.0029648324021441796,0.008130073421291018,-0.02806121745606749,-0.09214623398729005,train,-0.4830046710382635,-0.7958279635650256,0.008769376777553215,1.4580182347841368,-0.15099741348175147,0.7714740391214231,0.2623189686480086,-0.24023757603448664,-0.08887221527193966,0.016214112835082332,-0.3439716522425469,-0.4272353670149463,0.9718535811547637,2018-01-03,train,0.9152021580997793,0.008330907938675554,0.5103063821744479,-0.17364702550401417,-0.3471633176046404,-0.11804353589160387,-0.24023757603448664,0.07998499374474569,-0.012971290268065866,0.3783688174668016,0.12049765230381192,,,-0.02066896793693207,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-20,8039.069824,8336.860352,7949.359863,8200.639648,3488450048.0,94.08000183105467,2017-11-20,0,366.7300109863281,2017-11-20,0.0,1274.5999755859375,2017-11-20,0,6790.7099609375,2017-11-20,0,62.220001220703125,2017-11-20,0,56.09000015258789,2017-11-20,0,2582.139892578125,2017-11-20,0,2.371999979019165,2017-11-20,0,1.2400000095367432,2017-11-20,0,10.649999618530272,2017-11-20,0,0.06377611062881017,0.004484285207381644,0.10329908857849879,-0.016360605373768933,0.0011676495703669687,-0.00797193862035439,-0.00813437826133856,0.0012756828808564435,0.007646510945782392,0.0,-0.06824152806822803,-0.2500650226690543,train,1.2578435320350394,1.209780060264554,1.5906307106511437,-1.7567453474075934,0.029388428128253714,-0.3209559358848649,-0.05524135815709944,0.05516218502440888,0.169701233827599,-0.0060506452671161,-0.7614453902568157,-0.9852149630566288,0.9021931049981431,2018-01-04,train,-1.3912470693042371,1.5110991751185865,-0.6148608715926577,0.03379669234749177,0.1444301711481892,0.02485861117069475,0.05516218502440888,-0.1527311104448391,0.004840516213692881,0.8375899292824973,0.05457087095949727,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-21,8205.740234,8348.660156,7762.709961,8071.259766,4277609984.0,93.9499969482422,2017-11-21,0,360.4010009765625,2017-11-21,0.0,1281.0999755859375,2017-11-21,0,6862.47998046875,2017-11-21,0,62.56999969482422,2017-11-21,0,56.83000183105469,2017-11-21,0,2599.030029296875,2017-11-21,0,2.36299991607666,2017-11-21,0,1.277999997138977,2017-11-21,0,9.729999542236328,2017-11-21,0,-0.01577680370720269,-0.001381854594836529,-0.017257954953682764,0.0050996392001434465,0.010568853616793605,0.005625176265741327,0.013193112434546128,0.006541139295859866,-0.0037942930110085316,0.030645151056434727,-0.08638498678377471,0.22622079294282615,train,-0.3821519576165619,-0.38902521284777053,-0.3384645392475712,0.4857339440782009,0.6544018279386467,0.17193579156716773,0.14569721256729462,0.4538181826435104,-0.10908421704155227,0.0778731817293322,-0.9499560666325838,0.6976612115513955,1.1594522423155524,2018-01-05,train,0.4473789947749361,-0.3215413122851926,0.1700068804273703,0.7525621021294436,-0.07737110620522548,-0.06556374565528258,0.4538181826435104,0.09817579533739705,-0.06229854538346577,1.0449516732958424,0.2939902312143775,,,-0.01577680370720269,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-22,8077.950195,8302.259766,8075.470215,8253.549805,3633530112.0,93.22000122070312,2017-11-22,0,380.6520080566406,2017-11-22,0.0,1291.5999755859375,2017-11-22,0,6867.35986328125,2017-11-22,0,63.31999969482422,2017-11-22,0,58.02000045776367,2017-11-22,0,2597.080078125,2017-11-22,0,2.322000026702881,2017-11-22,0,1.2649999856948853,2017-11-22,0,9.880000114440918,2017-11-22,0,0.022585078944911796,-0.0077700452501476835,0.0561902076442764,0.008196081648661036,0.0007110961090435186,0.011986575094422358,0.020939619714365643,-0.0007502611166068096,-0.017350779022393015,-0.010172152952421354,0.015416297971388548,-0.1505700319592297,train,0.4086841173294882,-2.1301144554696925,0.8368172811272714,0.809295404161429,-0.000964283040209174,0.40253477406795124,0.21868151827436028,-0.09822522563344172,-0.43942385743385654,-0.033907776824024106,0.10776006930317489,-0.6336660739860932,0.8380090951665373,2018-01-08,train,2.4496316237901463,0.7949764170709078,0.28325339145650014,-0.00110892549624055,-0.18114064833057805,-0.09840668322346213,-0.09822522563344172,0.3954814716904709,0.027126221459219287,-0.11853607623349238,0.4160303092228951,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
2017-11-24,8074.02002,8374.160156,7940.930176,8253.69043,5058610176.0,92.76000213623048,2017-11-24,0,474.9110107421875,2017-11-24,0.0,1286.699951171875,2017-11-24,0,6889.16015625,2017-11-24,0,63.86000061035156,2017-11-24,0,58.95000076293945,2017-11-24,0,2602.419921875,2017-11-24,0,2.3399999141693115,2017-11-24,0,1.2400000095367432,2017-11-24,0,9.670000076293944,2017-11-24,0,1.7038123392154603e-05,-0.00493455351264771,0.24762512922701108,-0.003793763167144415,0.0031744794801438214,0.008528125681142251,0.016028960665948055,0.0020560951489239088,0.0077518894312802455,-0.01976282722596967,-0.02125506434357549,0.39220262941913386,train,-0.05655949400117404,-1.3573065622675629,3.900065906591501,-0.44357842096992717,0.1628070390377327,0.2771669206742692,0.1724153717044667,0.11424842689208918,0.17226905936699125,-0.06017248953600632,-0.27325566876506874,1.2841302368042564,0.7683484151464592,2018-01-09,train,1.5609025466076971,3.705062611261926,-0.1552524473394745,0.1872280948933926,-0.12472511430342113,-0.07758691726701002,0.11424842689208918,-0.15504215343029212,0.048137991628805055,0.30058123564157563,0.6510306354922034,,,0.0,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,False,False,False,0,False,Wait
