date,dataset_split,btc_close,accumulation_score,signal_zone,valuation_component,macro_component,participation_component,macro_support_score,buy_signal,buy_signal_label,buy_signal_strength
2017-11-10,train,6618.140137,,Neutral,,,,-0.3295663064393575,False,Wait,0
2017-11-13,train,6559.490234,,Neutral,,,,0.08137589811744135,False,Wait,0
2017-11-14,train,6635.75,,Neutral,,,,0.379060196321116,False,Wait,0
2017-11-15,train,7315.540039,,Neutral,,,,-0.25083742184586677,False,Wait,0
2017-11-16,train,7871.689941,,Neutral,,,,0.2588465032015065,False,Wait,0
2017-11-17,train,7708.990234,,Neutral,,,,0.12049765230381192,False,Wait,0
2017-11-20,train,8200.639648,,Neutral,,,,0.05457087095949727,False,Wait,0
2017-11-21,train,8071.259766,,Neutral,,,,0.2939902312143775,False,Wait,0
2017-11-22,train,8253.549805,,Neutral,,,,0.4160303092228951,False,Wait,0
2017-11-24,train,8253.69043,,Neutral,,,,0.6510306354922034,False,Wait,0
2017-11-27,train,9818.349609,,Neutral,,,,-0.04200275254448214,False,Wait,0
2017-11-28,train,10058.799805,,Neutral,,,,-0.08030521955183986,False,Wait,0
2017-11-29,train,9888.610352,,Neutral,,,,-0.46033783093771397,False,Wait,0
2017-11-30,train,10233.599609,,Neutral,,,,0.15578216721194557,False,Wait,0
2017-12-01,train,10975.599609,,Neutral,,,,0.11701308861785356,False,Wait,0
2017-12-04,train,11657.200195,,Neutral,,,,-0.24621051879284733,False,Wait,0
2017-12-05,train,11916.700195,,Neutral,,,,-0.164528414275079,False,Wait,0
2017-12-06,train,14291.5,,Neutral,,,,-0.07994155843241146,False,Wait,0
2017-12-07,train,17899.699219,,Neutral,,,,-0.012201414411560378,False,Wait,0
2017-12-08,train,16569.400391,,Neutral,,,,0.14091205176475657,False,Wait,0
2017-12-11,train,16936.800781,,Neutral,,,0.41646922304650924,0.2958765883000015,False,Wait,0
2017-12-12,train,17415.400391,,Neutral,,,0.4033656555965453,0.29472249526964234,False,Wait,0
2017-12-13,train,16408.199219,,Neutral,,,0.3933984893507496,0.5058584980068137,False,Wait,0
2017-12-14,train,16564.0,,Neutral,,,0.41089788836985824,-0.15675004262848544,False,Wait,0
2017-12-15,train,17706.900391,,Neutral,,,0.4021580722773086,0.10440699537140402,False,Wait,0
2017-12-18,train,19114.199219,,Neutral,,,0.3963581671791098,0.464000820471705,False,Wait,0
